n,date,day-week,day-month,val,weekend,holiday,sequia,,,,,,,,,,,,,,,,,
1,1/1/2007,lunes,1,2012.89,0,1,0,,,,,,,,,,,,,,,,,
2,2/1/2007,martes,2,2083.15,0,0,0,,,,,,,,,,,,,,,,,
3,3/1/2007,miércoles,3,2159.67,0,0,0,,,,,,,,,,,,,,,,,
4,4/1/2007,jueves,4,2179.24,0,0,0,,,,,,,,,,,,,,,,,
5,5/1/2007,viernes,5,2225.76,0,0,0,,,,,,,,,,,,,,,,,
6,6/1/2007,sábado,6,2212.22,1,0,0,,,,,,,,,,,,,,,,,
7,7/1/2007,domingo,7,2279.68,1,0,0,,,,,,,,,,,,,,,,,
8,8/1/2007,lunes,8,2237.22,0,0,0,,,,,,,,,,,,,,,,,
9,9/1/2007,martes,9,2209.97,0,0,0,,,,,,,,,,,,,,,,,
10,10/1/2007,miércoles,10,2256.65,0,0,0,,,,,,,,,,,,,,,,,
11,11/1/2007,jueves,11,2231.36,0,0,0,,,,,,,,,,,,,,,,,
12,12/1/2007,viernes,12,2271.19,0,0,0,,,,,,,,,,,,,,,,,
13,13/1/2007,sábado,13,2263.81,1,0,0,,,,,,,,,,,,,,,,,
14,14/1/2007,domingo,14,2282.10,1,0,0,,,,,,,,,,,,,,,,,
15,15/1/2007,lunes,15,2240.29,0,0,0,,,,,,,,,,,,,,,,,
16,16/1/2007,martes,16,2232.26,0,0,0,,,,,,,,,,,,,,,,,
17,17/1/2007,miércoles,17,2192.71,0,0,0,,,,,,,,,,,,,,,,,
18,18/1/2007,jueves,18,2201.69,0,0,0,,,,,,,,,,,,,,,,,
19,19/1/2007,viernes,19,2245.95,0,0,0,,,,,,,,,,,,,,,,,
20,20/1/2007,sábado,20,2217.50,1,0,0,,,,,,,,,,,,,,,,,
21,21/1/2007,domingo,21,2174.55,1,0,0,,,,,,,,,,,,,,,,,
22,22/1/2007,lunes,22,2245.84,0,0,0,,,,,,,,,,,,,,,,,
23,23/1/2007,martes,23,2272.58,0,0,0,,,,,,,,,,,,,,,,,
24,24/1/2007,miércoles,24,2286.98,0,0,0,,,,,,,,,,,,,,,,,
25,25/1/2007,jueves,25,2259.99,0,0,0,,,,,,,,,,,,,,,,,
26,26/1/2007,viernes,26,2244.47,0,0,0,,,,,,,,,,,,,,,,,
27,27/1/2007,sábado,27,2227.73,1,0,0,,,,,,,,,,,,,,,,,
28,28/1/2007,domingo,28,2234.13,1,0,0,,,,,,,,,,,,,,,,,
29,29/1/2007,lunes,29,2086.33,0,0,0,,,,,,,,,,,,,,,,,
30,30/1/2007,martes,30,2157.64,0,0,0,,,,,,,,,,,,,,,,,
31,31/1/2007,miércoles,31,2300.54,0,0,0,,,,,,,,,,,,,,,,,
32,1/2/2007,jueves,1,2302.91,0,0,0,,,,,,,,,,,,,,,,,
33,2/2/2007,viernes,2,2310.00,0,0,0,,,,,,,,,,,,,,,,,
34,3/2/2007,sábado,3,2134.31,1,0,0,,,,,,,,,,,,,,,,,
35,4/2/2007,domingo,4,2152.63,1,0,0,,,,,,,,,,,,,,,,,
36,5/2/2007,lunes,5,2202.04,0,0,0,,,,,,,,,,,,,,,,,
37,6/2/2007,martes,6,2277.57,0,0,0,,,,,,,,,,,,,,,,,
38,7/2/2007,miércoles,7,2272.03,0,0,0,,,,,,,,,,,,,,,,,
39,8/2/2007,jueves,8,2316.11,0,0,0,,,,,,,,,,,,,,,,,
40,9/2/2007,viernes,9,2252.06,0,0,0,,,,,,,,,,,,,,,,,
41,10/2/2007,sábado,10,2198.37,1,0,0,,,,,,,,,,,,,,,,,
42,11/2/2007,domingo,11,2189.29,1,0,0,,,,,,,,,,,,,,,,,
43,12/2/2007,lunes,12,2186.47,0,0,0,,,,,,,,,,,,,,,,,
44,13/2/2007,martes,13,2152.50,0,0,0,,,,,,,,,,,,,,,,,
45,14/2/2007,miércoles,14,2134.64,0,0,0,,,,,,,,,,,,,,,,,
46,15/2/2007,jueves,15,2190.53,0,0,0,,,,,,,,,,,,,,,,,
47,16/2/2007,viernes,16,2281.03,0,0,0,,,,,,,,,,,,,,,,,
48,17/2/2007,sábado,17,2166.34,1,0,0,,,,,,,,,,,,,,,,,
49,18/2/2007,domingo,18,2170.96,1,0,0,,,,,,,,,,,,,,,,,
50,19/2/2007,lunes,19,2194.25,0,1,0,,,,,,,,,,,,,,,,,
51,20/2/2007,martes,20,2215.03,0,1,0,,,,,,,,,,,,,,,,,
52,21/2/2007,miércoles,21,2293.76,0,0,0,,,,,,,,,,,,,,,,,
53,22/2/2007,jueves,22,2269.85,0,0,0,,,,,,,,,,,,,,,,,
54,23/2/2007,viernes,23,2288.29,0,0,0,,,,,,,,,,,,,,,,,
55,24/2/2007,sábado,24,2172.88,1,0,0,,,,,,,,,,,,,,,,,
56,25/2/2007,domingo,25,2170.96,1,0,0,,,,,,,,,,,,,,,,,
57,26/2/2007,lunes,26,2258.21,0,0,0,,,,,,,,,,,,,,,,,
58,27/2/2007,martes,27,2209.42,0,0,0,,,,,,,,,,,,,,,,,
59,28/2/2007,miércoles,28,2203.33,0,0,0,,,,,,,,,,,,,,,,,
60,1/3/2007,jueves,1,2053.42,0,0,0,,,,,,,,,,,,,,,,,
61,2/3/2007,viernes,2,1997.03,0,0,0,,,,,,,,,,,,,,,,,
62,3/3/2007,sábado,3,2066.99,1,0,0,,,,,,,,,,,,,,,,,
63,4/3/2007,domingo,4,2181.21,1,0,0,,,,,,,,,,,,,,,,,
64,5/3/2007,lunes,5,2076.88,0,0,0,,,,,,,,,,,,,,,,,
65,6/3/2007,martes,6,2089.77,0,0,0,,,,,,,,,,,,,,,,,
66,7/3/2007,miércoles,7,2079.81,0,0,0,,,,,,,,,,,,,,,,,
